# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 0 00000000.png

1 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 1 00000000.png

2 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 2 00000000.png

3 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 3 00000000.png

4 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 4 00000000.png

5 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 5 00000000.png

6 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 6 00000000.png

7 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 7 00000000.png

8 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 8 00000000.png

9 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 9 00000000.png

10 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 10 00000000.png

11 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 11 00000000.png

12 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 12 00000000.png

13 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 13 00000000.png

14 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 14 00000000.png

15 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 15 00000000.png

16 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 16 00000000.png

17 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 17 00000000.png

18 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 18 00000000.png

19 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 19 00000000.png

20 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 20 00000000.png

21 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 21 00000000.png

22 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 22 00000000.png

23 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 23 00000000.png

24 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 24 00000000.png

25 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 25 00000000.png

26 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 26 00000000.png

27 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 27 00000000.png

28 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 28 00000000.png

29 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 29 00000000.png

30 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 30 00000000.png

31 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 31 00000000.png

32 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 32 00000000.png

33 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 33 00000000.png

34 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 34 00000000.png

35 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 35 00000000.png

36 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 36 00000000.png

37 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 37 00000000.png

38 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 38 00000000.png

39 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 39 00000000.png

40 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 40 00000000.png

41 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 41 00000000.png

42 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 42 00000000.png

43 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 43 00000000.png

44 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 44 00000000.png

45 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 45 00000000.png

46 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 46 00000000.png

47 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 47 00000000.png

48 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 48 00000000.png

49 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 49 00000000.png

50 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 50 00000000.png

51 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 51 00000000.png

52 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 52 00000000.png

53 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 53 00000000.png

54 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 54 00000000.png

55 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 55 00000000.png

56 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 56 00000000.png

57 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 57 00000000.png

58 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 58 00000000.png

59 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 59 00000000.png

60 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 60 00000000.png

61 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 61 00000000.png

62 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 62 00000000.png

63 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 63 00000000.png

64 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 64 00000000.png

65 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 65 00000000.png

66 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 66 00000000.png

67 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 67 00000000.png

68 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 68 00000000.png

69 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 69 00000000.png

